fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age
Charles Johnson,Ramazan Temirov,UFC Fight Night: Kape vs. Almabayev,fighter2,http://ufcstats.com/fight-details/206b8c14546d71f1,125.0,70,Switch,4.77,50,3.62,57,0.56,23,67,0.4,125.0,63,Orthodox,8.12,41,1.41,75,0.0,0,0,0.0,17,6,0,18,3,0,69.0,64.0,34.0,28.0
Andrea Lee,JJ Aldrich,UFC Fight Night: Kape vs. Almabayev,fighter2,http://ufcstats.com/fight-details/1ada4b9ee5810e0f,125.0,69,Orthodox,4.71,46,3.83,62,1.7,55,54,0.6,125.0,67,Southpaw,3.88,46,4.38,60,0.66,23,66,0.0,13,10,0,13,7,0,66.0,65.0,36.0,32.0
Erin Blanchfield,JJ Aldrich,UFC Fight Night: Volkov vs. Rozenstruik,fighter1,http://ufcstats.com/fight-details/59b2bbb251968ca9,125.0,66,Orthodox,5.24,44,4.21,59,1.86,31,80,0.8,125.0,67,Southpaw,3.88,46,4.38,60,0.66,23,66,0.0,13,2,0,13,7,0,64.0,65.0,25.0,32.0
Danny Silva,Lucas Almeida,UFC Fight Night: Kape vs. Almabayev,fighter1,http://ufcstats.com/fight-details/1de799f17556b501,145.0,70,Switch,8.3,58,9.47,59,3.0,50,100,0.5,145.0,71,Orthodox,4.94,43,4.92,46,0.0,0,50,0.0,9,1,0,15,3,0,71.0,71.0,28.0,34.0
Ricardo Ramos,Chepe Mariscal,UFC Fight Night: Kape vs. Almabayev,fighter2,http://ufcstats.com/fight-details/dd1df7f5a54fd9fc,145.0,72,Orthodox,3.03,36,3.85,55,2.77,61,72,0.8,145.0,69,Orthodox,4.75,57,3.24,50,3.09,39,72,0.3,17,6,0,17,6,0,69.0,67.0,29.0,32.0
Austen Lane,Mario Pinto,UFC Fight Night: Kape vs. Almabayev,fighter2,http://ufcstats.com/fight-details/a857acedb53ee959,245.0,80,Orthodox,2.47,50,2.44,40,2.03,30,0,0.0,265.0,79,Orthodox,8.16,93,4.08,61,0.0,0,0,0.0,13,5,0,9,0,0,78.0,77.0,37.0,27.0
Danny Barlow,Sam Patterson,UFC Fight Night: Kape vs. Almabayev,fighter2,http://ufcstats.com/fight-details/d6c3b730dc9f21a5,170.0,79,Southpaw,5.72,50,3.48,52,0.0,0,100,0.0,170.0,78,Orthodox,2.66,37,3.37,48,1.94,100,33,3.9,9,0,0,12,2,1,74.0,75.0,29.0,28.0
Vanessa Demopoulos,Jinh Yu Frey,UFC Fight Night: Tsarukyan vs. Gamrot,fighter1,http://ufcstats.com/fight-details/2c73bf152247f25a,115.0,59,Orthodox,3.87,41,5.53,41,0.41,11,27,0.5,115.0,65,Southpaw,2.97,43,4.23,52,1.02,36,90,0.3,11,6,0,11,10,0,62.0,63.0,36.0,39.0
Jessica Eye,Maycee Barber,UFC 276: Adesanya vs. Cannonier,fighter2,http://ufcstats.com/fight-details/1c85003f6ec59c9d,125.0,66,Orthodox,3.86,37,4.19,55,0.58,40,57,0.5,125.0,65,Switch,4.7,53,2.9,54,1.44,43,53,0.1,15,11,0,14,2,0,66.0,65.0,38.0,26.0
Jessica-Rose Clark,Julija Stoliarenko,UFC 276: Adesanya vs. Cannonier,fighter2,http://ufcstats.com/fight-details/0e2c7ec02a095813,135.0,64,Orthodox,3.73,51,3.51,58,1.66,42,62,0.3,125.0,66,Orthodox,2.49,39,4.54,46,0.93,27,54,1.7,11,9,0,11,9,2,65.0,67.0,37.0,31.0
