fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Name,fighter1_Nickname,fighter1_Record,fighter1_Height,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_DOB,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Name,fighter2_Nickname,fighter2_Record,fighter2_Height,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_DOB,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg
Charles Johnson,Ramazan Temirov,UFC Fight Night: Kape vs. Almabayev,fighter2,http://ufcstats.com/fight-details/206b8c14546d71f1,Charles Johnson,InnerG,Record: 17-6-0,"5' 9""",125 lbs.,"70""",Switch,"Jan 10, 1991",4.77,50%,3.62,57%,0.56,23%,67%,0.4,Ramazan Temirov,Temurlan,Record: 18-3-0,"5' 4""",125 lbs.,"63""",Orthodox,"Jan 31, 1997",8.12,41%,1.41,75%,0.00,0%,0%,0.0
Andrea Lee,JJ Aldrich,UFC Fight Night: Kape vs. Almabayev,fighter2,http://ufcstats.com/fight-details/1ada4b9ee5810e0f,Andrea Lee,KGB,Record: 13-10-0,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",4.71,46%,3.83,62%,1.70,55%,54%,0.6,JJ Aldrich,,Record: 13-7-0,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",3.88,46%,4.38,60%,0.66,23%,66%,0.0
Erin Blanchfield,JJ Aldrich,UFC Fight Night: Volkov vs. Rozenstruik,fighter1,http://ufcstats.com/fight-details/59b2bbb251968ca9,Erin Blanchfield,Cold Blooded,Record: 13-2-0,"5' 4""",125 lbs.,"66""",Orthodox,"May 04, 1999",5.24,44%,4.21,59%,1.86,31%,80%,0.8,JJ Aldrich,,Record: 13-7-0,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",3.88,46%,4.38,60%,0.66,23%,66%,0.0
Danny Silva,Lucas Almeida,UFC Fight Night: Kape vs. Almabayev,fighter1,http://ufcstats.com/fight-details/1de799f17556b501,Danny Silva,El Puma,Record: 9-1-0,"5' 11""",145 lbs.,"70""",Switch,"Jan 30, 1997",8.30,58%,9.47,59%,3.00,50%,100%,0.5,Lucas Almeida,,Record: 15-3-0,"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991",4.94,43%,4.92,46%,0.00,0%,50%,0.0
Ricardo Ramos,Chepe Mariscal,UFC Fight Night: Kape vs. Almabayev,fighter2,http://ufcstats.com/fight-details/dd1df7f5a54fd9fc,Ricardo Ramos,,Record: 17-6-0,"5' 9""",145 lbs.,"72""",Orthodox,"Aug 01, 1995",3.03,36%,3.85,55%,2.77,61%,72%,0.8,Chepe Mariscal,Machine Gun,Record: 17-6-0 (1 NC),"5' 7""",145 lbs.,"69""",Orthodox,"Oct 27, 1992",4.75,57%,3.24,50%,3.09,39%,72%,0.3
Austen Lane,Mario Pinto,UFC Fight Night: Kape vs. Almabayev,fighter2,http://ufcstats.com/fight-details/a857acedb53ee959,Austen Lane,,Record: 13-5-0 (1 NC),"6' 6""",245 lbs.,"80""",Orthodox,"Nov 09, 1987",2.47,50%,2.44,40%,2.03,30%,0%,0.0,Mario Pinto,,Record: 9-0-0,"6' 5""",265 lbs.,"79""",Orthodox,"Mar 14, 1998",8.16,93%,4.08,61%,0.00,0%,0%,0.0
Danny Barlow,Sam Patterson,UFC Fight Night: Kape vs. Almabayev,fighter2,http://ufcstats.com/fight-details/d6c3b730dc9f21a5,Danny Barlow,LeftHand2God,Record: 9-0-0,"6' 2""",170 lbs.,"79""",Southpaw,"Aug 02, 1995",5.72,50%,3.48,52%,0.00,0%,100%,0.0,Sam Patterson,,Record: 12-2-1,"6' 3""",170 lbs.,"78""",Orthodox,"Apr 30, 1996",2.66,37%,3.37,48%,1.94,100%,33%,3.9
Vanessa Demopoulos,Jinh Yu Frey,UFC Fight Night: Tsarukyan vs. Gamrot,fighter1,http://ufcstats.com/fight-details/2c73bf152247f25a,Vanessa Demopoulos,Lil Monster,Record: 11-6-0,"5' 2""",115 lbs.,"59""",Orthodox,"Sep 22, 1988",3.87,41%,5.53,41%,0.41,11%,27%,0.5,Jinh Yu Frey,,Record: 11-10-0,"5' 3""",115 lbs.,"65""",Southpaw,"May 20, 1985",2.97,43%,4.23,52%,1.02,36%,90%,0.3
Jessica Eye,Maycee Barber,UFC 276: Adesanya vs. Cannonier,fighter2,http://ufcstats.com/fight-details/1c85003f6ec59c9d,Jessica Eye,Evil,Record: 15-11-0 (1 NC),"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986",3.86,37%,4.19,55%,0.58,40%,57%,0.5,Maycee Barber,The Future,Record: 14-2-0,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",4.70,53%,2.90,54%,1.44,43%,53%,0.1
Jessica-Rose Clark,Julija Stoliarenko,UFC 276: Adesanya vs. Cannonier,fighter2,http://ufcstats.com/fight-details/0e2c7ec02a095813,Jessica-Rose Clark,,Record: 11-9-0 (1 NC),"5' 5""",135 lbs.,"64""",Orthodox,"Nov 28, 1987",3.73,51%,3.51,58%,1.66,42%,62%,0.3,Julija Stoliarenko,,Record: 11-9-2,"5' 7""",125 lbs.,"66""",Orthodox,"Apr 08, 1993",2.49,39%,4.54,46%,0.93,27%,54%,1.7
